world,hour_utc,rel,bias_factor
Quelibra,0,1.697884204330721,0.5889683156538842
Quelibra,1,1.638169290206092,0.6104375206998256
Quelibra,2,1.2717502998225405,0.7863178802784946
Quelibra,3,0.9322325826337474,1.072693680341869
Quelibra,4,0.636762005071537,1.5704454600548206
Quelibra,5,0.4166741161320016,2.3999570918468134
Quelibra,6,0.30655626706554495,3.262043896777323
Quelibra,7,0.24964972761509424,4.005612221383166
Quelibra,8,0.262645566694388,3.8074124478316094
Quelibra,9,0.4726938004221855,2.1155344096048054
Quelibra,10,0.5940451481853545,1.6833737352366678
Quelibra,11,0.7507228931658163,1.332049427429842
Quelibra,12,0.961942230502684,1.0395634667971985
Quelibra,13,1.097039833249988,0.9115439291183194
Quelibra,14,1.1467037222249268,0.8720648417009753
Quelibra,15,1.1081255227533224,0.902424842192366
Quelibra,16,1.0763465461770967,0.9290688055364141
Quelibra,17,1.1483296233520826,0.8708300993584974
Quelibra,18,1.1829169746024861,0.8453678672892875
Quelibra,19,1.190159625077998,0.8402234279577954
Quelibra,20,1.282835989325875,0.7795228761281447
Quelibra,21,1.3403337655498369,0.7460828233255589
Quelibra,22,1.5153853302609537,0.6598981658531676
Quelibra,23,1.704239999645966,0.5867718162980198
Quidera,0,1.4680255023183926,0.6811870763966572
Quidera,1,1.717689703392949,0.5821773269203989
Quidera,2,1.6063010598366085,0.6225483036795849
Quidera,3,1.6237775539118273,0.6158479020669484
Quidera,4,1.3606698958563332,0.7349321117820816
Quidera,5,1.050894237138441,0.9515705431242778
Quidera,6,0.7904752704791344,1.265061713308078
Quidera,7,0.5698105266063148,1.7549693333252607
Quidera,8,0.3307090417310664,3.023806046443698
Quidera,9,0.3641256347979686,2.7463048586371563
Quidera,10,0.35894030139103555,2.7859786045885757
Quidera,11,0.43364751232796056,2.3060203773144585
Quidera,12,0.5611683042614264,1.7819965817850951
Quidera,13,0.7151919113858834,1.3982261041826125
Quidera,14,0.8448252465592109,1.183676747437156
Quidera,15,0.9531410999484802,1.049162605677221
Quidera,16,1.0299608541252667,0.970910686551566
Quidera,17,1.0725958176933834,0.9323176386707337
Quidera,18,1.1117738923235445,0.8994634672613661
Quidera,19,1.115038731876058,0.8968298332717961
Quidera,20,1.1565213991315226,0.8646619083321236
Quidera,21,1.167468214101715,0.8565543694647224
Quidera,22,1.211358885190029,0.825519185293405
Quidera,23,1.3531799698240967,0.7390000016996945
Quintera,0,1.432409341983945,0.6981244611368979
Quintera,1,1.4590475545990311,0.6853786203526556
Quintera,2,1.5284683511110733,0.6542497260562056
Quintera,3,1.3946718741125732,0.7170145312038345
Quintera,4,1.188629335627703,0.841305165560221
Quintera,5,0.9387951900407597,1.0651950612961523
Quintera,6,0.7107559456843412,1.4069527044718062
Quintera,7,0.4835239198920164,2.0681500104965362
Quintera,8,0.3114311314008486,3.2109827797301422
Quintera,9,0.38181438081623326,2.6190736919395885
Quintera,10,0.45890375368716413,2.1791061676120056
Quintera,11,0.5487068189425678,1.8224668720668264
Quintera,12,0.7022801507613593,1.4239331681464658
Quintera,13,0.8465704690930753,1.1812365733372352
Quintera,14,0.9593792634251443,1.042340644751725
Quintera,15,1.0318271295525374,0.9691545912672992
Quintera,16,1.1181995159105438,0.8942947888737954
Quintera,17,1.1258680922694322,0.8882035176823266
Quintera,18,1.1115399627567721,0.8996527641883989
Quintera,19,1.1202175623207775,0.8926837371914431
Quintera,20,1.1315186222180866,0.8837680444354737
Quintera,21,1.1922618191661238,0.8387419473848512
Quintera,22,1.4163270644377741,0.7060516070819847
Quintera,23,1.3874069070357316,0.7207690800217746
Rasteibra,0,1.8312953761939785,0.54606155456927
Rasteibra,1,1.6476310562051866,0.6069319925925611
Rasteibra,2,1.423356700040529,0.7025645784865634
Rasteibra,3,1.0287875831219322,0.972017952399295
Rasteibra,4,0.6785051311687856,1.4738282056576504
Rasteibra,5,0.4453734420110379,2.245306759838672
Rasteibra,6,0.28995231590587267,3.448842948109545
Rasteibra,7,0.2383123933612533,4.196172871648009
Rasteibra,8,0.22640834350406694,4.4167983587673625
Rasteibra,9,0.37535037551849576,2.664177433201273
Rasteibra,10,0.5018598297782915,1.99258825007328
Rasteibra,11,0.6908719734610246,1.4474461816570054
Rasteibra,12,0.8907468840220758,1.122653379919336
Rasteibra,13,1.046669368598548,0.9554115463787418
Rasteibra,14,1.1181965105050111,0.8942971924929098
Rasteibra,15,1.0832685370039579,0.9231321374529559
Rasteibra,16,1.0587019719099156,0.9445528831839085
Rasteibra,17,1.090621794583127,0.9169081389779437
Rasteibra,18,1.1599763831139265,0.8620865170681544
Rasteibra,19,1.1783595270618492,0.848637429438386
Rasteibra,20,1.2059342429837334,0.8292326101676912
Rasteibra,21,1.3947792671760308,0.716959323624498
Rasteibra,22,1.6977026266087945,0.5890313087384015
Rasteibra,23,1.6919177211706369,0.5910452899022185
Refugia,0,0.45112808042436725,2.2166653848266766
Refugia,1,0.37249107557975275,2.6846280771789752
Refugia,2,0.3029594081381989,3.300772226039724
Refugia,3,0.2796166340685344,3.576325147218884
Refugia,4,0.3281232496884755,3.0476353045674545
Refugia,5,0.4585779019359623,2.180654575325882
Refugia,6,0.6454856460824249,1.549221126866554
Refugia,7,0.7744503340275927,1.2912383868432438
Refugia,8,0.8145902270268194,1.2276110942920462
Refugia,9,1.1032357900726544,0.9064245458662507
Refugia,10,1.0850251152665331,0.921637652373008
Refugia,11,1.0530736585612477,0.949601190638688
Refugia,12,1.0188044796079103,0.9815426021535091
Refugia,13,1.0580402062356444,0.9451436666644804
Refugia,14,1.1805483822040963,0.8470639705024113
Refugia,15,1.2853425381338668,0.7780027271577402
Refugia,16,1.431690142939423,0.6984751588405058
Refugia,17,1.5719123389465568,0.636167790800705
Refugia,18,1.790274885030865,0.5585734393982518
Refugia,19,1.9816525220842844,0.5046293378155969
Refugia,20,1.8180875520074866,0.5500285169962388
Refugia,21,1.510492699373184,0.6620356393744733
Refugia,22,1.029960109768863,0.9709113882327088
Refugia,23,0.6433334754235196,1.5544038017634316
Retalia,0,0.5914290809956942,1.6908197992504197
Retalia,1,0.38861287336407724,2.5732549499541064
Retalia,2,0.2723126703865067,3.6722492514970058
Retalia,3,0.25812971880387614,3.8740211883924456
Retalia,4,0.28365903165261114,3.5253592814371255
Retalia,5,0.30493345902655694,3.27940398273221
Retalia,6,0.6169583938444292,1.6208548420400577
Retalia,7,0.7332585968219998,1.3637753506526598
Retalia,8,0.8477041061310724,1.1796569024113934
Retalia,9,1.1374727169269705,0.8791419654456673
Retalia,10,1.2098057699983864,0.8265789639946367
Retalia,11,1.228243607055806,0.8141707347429852
Retalia,12,1.2835571182280654,0.7790849240745028
Retalia,13,1.226825311897543,0.8151119725866187
Retalia,14,1.1615837346174425,0.8608935974205435
Retalia,15,1.2637009860123827,0.7913264380330247
Retalia,16,1.272210756961961,0.7860332846013658
Retalia,17,1.5445234273484676,0.6474489038452022
Retalia,18,1.6196930707364097,0.6174009249452058
Retalia,19,1.6367126126355662,0.610980811340923
Retalia,20,1.6438040884268814,0.6083450011108068
Retalia,21,1.5119026387084171,0.661418251676759
Retalia,22,1.0951420614341962,0.913123543707564
Retalia,23,0.8637417513822009,1.1577534586000413
Secura,0,0.4707218699763532,2.124396727201639
Secura,1,0.3597238613357896,2.7799101129589374
Secura,2,0.3075751906096456,3.2512375202235826
Secura,3,0.301821356828409,3.3132181582780387
Secura,4,0.354698360944583,2.819296929754454
Secura,5,0.47028486994233526,2.126370767834008
Secura,6,0.6217053817295607,1.6084789184517563
Secura,7,0.7895133947924599,1.2666029564487262
Secura,8,0.8182433457468719,1.2221303175856875
Secura,9,1.0871832512976982,0.9198081361227435
Secura,10,1.1124564199317373,0.8989116176446375
Secura,11,1.0871832512976982,0.9198081361227435
Secura,12,1.0430462478618836,0.9587302596120516
Secura,13,1.0951949185880276,0.9130794738248448
Secura,14,1.2406430965770077,0.8060335827112944
Secura,15,1.433068778222919,0.6978032144696173
Secura,16,1.4411532788522514,0.6938887172337489
Secura,17,1.539551119845297,0.6495399776660133
Secura,18,1.7315398014571903,0.5775206548289809
Secura,19,1.8247664753810233,0.5480153288059467
Secura,20,1.7132586333674387,0.5836830356631463
Secura,21,1.406848776181841,0.7108084514342613
Secura,22,1.0464133891496374,0.955645264451982
Secura,23,0.6937375540035221,1.4414673016172381
Serdebra,0,1.7312146339270231,0.5776291283603796
Serdebra,1,1.6271701361011737,0.6145638847552094
Serdebra,2,1.332658317513128,0.7503798887220385
Serdebra,3,0.9950883194124701,1.004935924270953
Serdebra,4,0.668397790156636,1.4961150601136106
Serdebra,5,0.42292019734807784,2.36451227978825
Serdebra,6,0.27275288089839805,3.666322411357061
Serdebra,7,0.18924146511770876,5.284254163737303
Serdebra,8,0.21749508030843737,4.597805148428485
Serdebra,9,0.42230726952583425,2.3679440828068103
Serdebra,10,0.5536270554415237,1.8062701057889756
Serdebra,11,0.7076251707802259,1.41317754270584
Serdebra,12,0.9063670171427104,1.1033058144066894
Serdebra,13,1.0444290091030792,0.9574609583649603
Serdebra,14,1.12135145079465,0.8917810730002143
Serdebra,15,1.1173674199500667,0.8949607641546308
Serdebra,16,1.1250290177281115,0.8888659618926136
Serdebra,17,1.151231682129025,0.86863488516113
Serdebra,18,1.1863217999524704,0.8429416032311509
Serdebra,19,1.275502798088913,0.7840045521642922
Serdebra,20,1.2722849270221344,0.7859874614254568
Serdebra,21,1.3695872188033043,0.7301470006954094
Serdebra,22,1.588308154756229,0.6296007465588304
Serdebra,23,1.6878499905032889,0.592469713319616
Solidera,0,1.3330199231756075,0.7501763346625266
Solidera,1,1.4552666911917118,0.6871592719414915
Solidera,2,1.560673343205598,0.6407490743360914
Solidera,3,1.5475754752038724,0.6461720387939486
Solidera,4,1.4939365871968062,0.669372454339833
Solidera,5,1.3682594251802498,0.7308555538495658
Solidera,6,1.098661642144734,0.9101983373587765
Solidera,7,0.8030240501057876,1.2452927155397941
Solidera,8,0.4569140875986539,2.1885952461119653
Solidera,9,0.4637268980610898,2.156441656028897
Solidera,10,0.46216762806088435,2.1637171002125304
Solidera,11,0.4800992330632466,2.0829027232965056
