horizon,target,fold,model,n_test,rmse,mae,r2_oos,dir_acc,dm_t_vs_rw,dm_p_vs_rw
1,rel,1,MovingAvg,3504,0.011415556211220288,0.007061061285132231,0.0,0.4843036529680365,-0.5921382951604938,0.5537579849852512
1,rel,1,Ridge,3504,0.03169832286512856,0.020910249246799833,-6.710426746342583,0.5253995433789954,-34.26348864471621,0.0
1,rel,1,ElasticNet,3504,0.011267941068204869,0.006946704651085472,0.025694890517481195,0.569634703196347,3.0433905705123805,0.002339285030564353
1,rel,1,RandomForest,3504,0.011276841440118873,0.006964338211567916,0.024155105637258867,0.5736301369863014,3.2090671863194964,0.0013316637055176272
1,rel,1,XGBoost,3504,0.01192864782471582,0.007683743140555261,-0.0919136119073598,0.5616438356164384,-6.024495637472265,1.6963777049738837e-09
1,rel,1,LightGBM,3504,0.011591014795169144,0.007367164983871452,-0.03097650106701,0.557648401826484,-2.4218802649340465,0.015440437059703438
1,rel,2,RandomWalk,3702,0.0106232342920844,0.0074058276429128005,0.0,0.0,,
1,rel,2,Naive,3702,0.016116924509274228,0.011178415600157547,-1.3017111619403914,0.501890869800108,-15.710098564028078,0.0
1,rel,2,MovingAvg,3702,0.0106232342920844,0.0074058276429128005,0.0,0.49081577525661807,-1.6281247052917818,0.10349844602388303
1,rel,2,Ridge,3702,0.010716077790209574,0.007646652231901515,-0.017555709692473664,0.5545650999459751,-1.5473384904685714,0.12178164491437737
1,rel,2,ElasticNet,3702,0.010424982593962096,0.0073033792870647925,0.036975895990119856,0.5723933009184224,4.404403027140596,1.0607557709318982e-05
1,rel,2,RandomForest,3702,0.01041950945187673,0.007286217499681698,0.03798681070814858,0.5791464073473798,4.3191352350791306,1.566417780196616e-05
1,rel,2,XGBoost,3702,0.01091165403373459,0.007809806017676767,-0.055036915705443556,0.5610480821177741,-4.015121622726873,5.941514790808178e-05
1,rel,2,LightGBM,3702,0.010588274840297231,0.007495415736780271,0.006570866781715146,0.56645056726094,0.5746272160488427,0.5655434414939058
1,rel,3,RandomWalk,5977,0.011707534105194943,0.007546007654060745,0.0,0.0,,
1,rel,3,Naive,5977,,,,0.4729797557302995,-13.49153282573436,0.0
1,rel,3,MovingAvg,5977,0.011707534105194943,0.007546007654060745,0.0,0.5121298310189059,2.651388814882864,0.008016150106578523
1,rel,3,Ridge,5977,0.011677580443481736,0.0075376982980672625,0.005110443122337105,0.56198761920696,0.5524976055691362,0.5806074744653276
1,rel,3,ElasticNet,5977,0.011573797137768689,0.007408208987692468,0.022715819955022365,0.5658357035301991,2.8056388507759604,0.005021694050771686
1,rel,3,RandomForest,5977,0.011585010801680813,0.007442637534019866,0.020821153031317152,0.5703530199096537,3.731831380673545,0.00019009273337244892
1,rel,3,XGBoost,5977,0.011686833784359052,0.007538314543270216,0.003533113007108013,0.5686799397691149,0.39945885613657345,0.6895551341532271
1,rel,3,LightGBM,5977,0.011615275419674859,0.007500812677138315,0.01569846773964323,0.5688472477831689,2.084505367789299,0.03711422247185192
1,rel,4,RandomWalk,7125,0.012207406747547203,0.007776045489250528,0.0,0.0,,
1,rel,4,Naive,7125,0.019047551600345738,0.012003512667699614,-1.4346216895723929,0.48519298245614034,-18.40106431299991,0.0
1,rel,4,MovingAvg,7125,0.012207406747547203,0.007776045489250528,0.0,0.4791578947368421,-1.5895523051964504,0.11193575513644194
1,rel,4,Ridge,7125,0.012094820558211192,0.007779844517973458,0.01836049424725894,0.5487719298245614,2.3098905679091875,0.02089421339325348
1,rel,4,ElasticNet,7125,0.012051992294338386,0.00770150248992607,0.025300238328626046,0.5532631578947368,3.8035384518592874,0.00014264384016393628
1,rel,4,RandomForest,7125,0.012070237149464527,0.007733857346874402,0.022346914751885882,0.5541052631578948,3.8707897709162338,0.00010848331885648932
1,rel,4,XGBoost,7125,0.012146074072492678,0.007804195842486953,0.010023193614965065,0.5503157894736842,1.3198945072037256,0.1868702417499546
1,rel,4,LightGBM,7125,0.012112777152625565,0.007782652895214258,0.015443545246602186,0.5480701754385965,2.3668168195121058,0.01794181060397748
1,rel,5,RandomWalk,6897,0.0123211259742417,0.007562676633574828,0.0,0.0,,
1,rel,5,Naive,6897,0.01952459549137141,0.011880157403895423,-1.511095871859002,0.47266927649702767,-14.485913716517457,0.0
1,rel,5,MovingAvg,6897,0.0123211259742417,0.007562676633574828,0.0,0.4926779759315644,-1.50123100636099,0.1332958228706813
1,rel,5,Ridge,6897,0.01224810205155131,0.007653391390186463,0.011818323503281603,0.5441496302740322,1.6670651202749722,0.0955014568146344
1,rel,5,ElasticNet,6897,0.012155433612716496,0.007486846176096518,0.02671480850425889,0.5538639988400754,4.285955653145237,1.8195528571851582e-05
1,rel,5,RandomForest,6897,0.012168763817577895,0.007492720209069224,0.024578939822679113,0.5513991590546614,4.527530285916768,5.967705023035563e-06
1,rel,5,XGBoost,6897,0.012194522155785745,0.007540295481714407,0.020445107009151697,0.5551689140205887,2.718276059768533,0.0065623060940713795
1,rel,5,LightGBM,6897,0.012171488441804108,0.007532682253732432,0.02414209127834288,0.5493692909960852,3.5129523568421495,0.00044315693271546053
7,ret,0,RandomWalk,1357,0.02768001885239273,0.021195996834608596,0.0,0.0,,
