world,origin,h,actual,model,rw,snaive,is_sa,in80,in90
Gentebra,2025-10-23,1m,44724.0,44352.11549929579,44383.0,43533.0,True,True,True
Gentebra,2025-10-23,3m,42372.0,44235.89789756894,44383.0,43533.0,True,True,True
Gentebra,2025-10-23,6m,40178.5,44009.01832514284,44383.0,43533.0,True,False,True
Gentebra,2025-09-13,2w,41799.5,41758.43877768707,41825.5,40698.0,True,True,True
Gentebra,2025-09-13,1m,43477.0,41705.533903577,41825.5,40698.0,True,False,False
Gentebra,2025-09-13,3m,44075.5,41439.373996750845,41825.5,40698.0,True,False,True
Gentebra,2025-09-13,6m,41053.5,41097.48491072336,41825.5,40698.0,True,True,True
Gentebra,2025-08-04,2w,40207.5,39565.40162944814,39576.5,40262.5,True,True,True
Gentebra,2025-08-04,1m,40895.0,39551.49868467498,39576.5,40262.5,True,False,True
Gentebra,2025-08-04,3m,43942.0,39551.487013234524,39576.5,40262.5,True,False,False
Gentebra,2025-08-04,6m,41256.5,39517.49338928935,39576.5,40262.5,True,True,True
Gladera,2026-01-11,2w,41235.5,40534.55094518915,40439.5,39987.0,False,True,True
Gladera,2026-01-11,1m,42234.0,40587.434228858125,40439.5,39987.0,False,True,True
Gladera,2026-01-11,3m,41433.5,40487.16580648669,40439.5,39987.0,False,True,True
Gladera,2026-01-11,6m,41868.0,40390.7049123781,40439.5,39987.0,False,True,True
Gladera,2025-12-02,2w,44314.5,44316.831465093215,44269.0,44110.0,False,True,True
Gladera,2025-12-02,1m,40399.0,44439.42363561185,44269.0,44110.0,False,False,False
Gladera,2025-12-02,3m,39874.0,44500.11906877035,44269.0,44110.0,False,False,True
Gladera,2025-12-02,6m,40457.0,44604.26773659386,44269.0,44110.0,False,True,True
Gladera,2025-10-23,2w,44519.5,43610.98167547015,43584.5,43572.5,False,True,True
Gladera,2025-10-23,1m,43116.0,43657.48887378922,43584.5,43572.5,False,True,True
Gladera,2025-10-23,3m,39547.0,43677.34492717944,43584.5,43572.5,False,False,True
Gladera,2025-10-23,6m,40232.0,43843.50064374496,43584.5,43572.5,False,True,True
Gladera,2025-09-13,2w,41771.0,41288.950567176085,41325.5,40658.0,False,True,True
Gladera,2025-09-13,1m,42972.5,41304.77677604009,41325.5,40658.0,False,True,True
Gladera,2025-09-13,3m,43988.0,41369.55632369028,41325.5,40658.0,False,True,True
Gladera,2025-09-13,6m,36940.0,41336.87131964049,41325.5,40658.0,False,True,True
Gladera,2025-08-04,2w,40850.5,38366.17395587894,38349.0,39021.5,False,False,True
Gladera,2025-08-04,1m,41101.0,38372.62836052461,38349.0,39021.5,False,True,True
Gladera,2025-08-04,3m,44959.0,38913.201857835906,38349.0,39021.5,False,False,True
Gladera,2025-08-04,6m,39538.5,39707.20034571168,38349.0,39021.5,False,True,True
Gladera,2025-06-25,2w,39821.5,39125.14087519482,39166.0,38975.0,False,True,True
Gladera,2025-06-25,1m,39402.0,39013.505625104546,39166.0,38975.0,False,True,True
Gladera,2025-06-25,3m,41514.5,38898.46545121589,39166.0,38975.0,False,True,True
Gladera,2025-06-25,6m,42639.0,38706.45726193188,39166.0,38975.0,False,True,True
Gladera,2025-05-16,2w,39477.5,38728.91351618291,38858.0,37621.0,False,True,True
Gladera,2025-05-16,1m,38894.5,38707.120975839905,38858.0,37621.0,False,True,True
Gladera,2025-05-16,3m,40283.5,38464.3697447075,38858.0,37621.0,False,True,True
Gladera,2025-05-16,6m,43118.5,38211.07213494651,38858.0,37621.0,False,True,True
Gladera,2025-04-06,2w,40359.5,40050.060859045596,40122.5,40370.0,False,True,True
Gladera,2025-04-06,1m,39388.5,39874.15225776178,40122.5,40370.0,False,True,True
Gladera,2025-04-06,3m,39602.0,39958.502110548536,40122.5,40370.0,False,True,True
Gladera,2025-04-06,6m,42581.0,39738.361278425786,40122.5,40370.0,False,True,True
Gladera,2025-02-25,2w,40916.0,40378.936601215406,40394.0,41861.0,False,True,True
Gladera,2025-02-25,1m,40648.0,40405.59056794391,40394.0,41861.0,False,True,True
Gladera,2025-02-25,3m,39588.0,40502.634948639374,40394.0,41861.0,False,True,True
Gladera,2025-02-25,6m,41075.0,40675.6629748818,40394.0,41861.0,False,True,True
Gladera,2025-01-16,2w,41797.0,41938.026457943866,41934.42105263158,40935.0,False,True,True
Gladera,2025-01-16,1m,41491.5,41785.81868454658,41934.42105263158,40935.0,False,True,True
Gladera,2025-01-16,3m,40284.0,41575.04438488952,41934.42105263158,40935.0,False,True,True
Gladera,2025-01-16,6m,39535.5,41150.656756628356,41934.42105263158,40935.0,False,True,True
Gladera,2024-12-07,3m,40661.0,40665.786312363765,41005.0,40735.5,False,True,True
Gladera,2024-12-07,6m,38700.5,40489.80432503349,41005.0,40735.5,False,True,True
Gladera,2024-10-28,2w,41608.5,40650.66282994147,40718.5,42126.0,False,True,True
