scheme,target,horizon,fold,model,rmse,r2_oos,dir_acc,dm_t_vs_rw
rolling,ret,30,0,CatBoost,0.0550330253144439,0.013565258457236218,0.7192336035372144,0.12179812053160136
rolling,ret,30,0,RandomForest,0.05795892015450753,-0.09411294056179487,0.47752394988946206,-1.0353121203222333
rolling,ret,30,1,OLS,0.83337872656061,-546.7056897316261,0.7363013698630136,-54.227995004928886
rolling,ret,30,1,CatBoost,0.03169625876362913,0.20772046192277616,0.6820776255707762,4.947209948006543
rolling,ret,30,1,RandomForest,0.03241752231741701,0.1712528092687483,0.653824200913242,5.133745527459693
rolling,ret,30,2,OLS,0.05167066567555214,-0.7768278227033782,0.6842247433819557,-8.277927840249951
rolling,ret,30,2,CatBoost,0.0281921527603925,0.47105110673412154,0.7641815235008104,8.108374943735644
rolling,ret,30,2,RandomForest,0.030839363267877822,0.3670519907821469,0.7658022690437601,5.015366075414614
rolling,ret,30,3,OLS,0.040094782815211755,0.3758064462036912,0.7838380458423958,8.148641185476794
rolling,ret,30,3,CatBoost,0.034550917113655814,0.5364861580865189,0.7671072444370085,11.568028724969594
rolling,ret,30,3,RandomForest,0.033216893813466215,0.5715880416051937,0.7987284590931906,12.287465312413145
