world,model,n_test,rmse,r2_oos,dm_t_vs_rw
Wintera,RandomWalk,65,0.0154617343518035,0.0,
Wintera,SARIMA,65,0.015431200559394493,0.003945694925084786,0.2989752717449916
Wintera,SARIMAX,65,0.01579286133289817,-0.043290443995243955,-0.9197343315398662
Wintera,MarkovSwitch,65,0.01560756445409556,-0.018952312884721767,-1.5494514551033345
Xyla,RandomWalk,65,0.03403606033294773,0.0,
Xyla,SARIMA,65,0.03369109034949073,0.020168125873900156,0.9458454538683507
Xyla,SARIMAX,65,0.033473230495605695,0.0327991122285155,0.7913673397026985
Xyla,MarkovSwitch,65,0.03461668505133637,-0.03440922254839052,-0.9742816033786061
Xymera,RandomWalk,65,0.02281137660009796,0.0,
Xymera,SARIMA,65,0.02470605700279643,-0.17301587389042994,-0.9393151240582087
Xymera,SARIMAX,65,0.023305282420654844,-0.04377226220269459,-0.39064639689269026
Xymera,MarkovSwitch,65,0.02547200612108662,-0.24687613270528108,-2.352582991344732
Yonabra,RandomWalk,65,0.017649486802219897,0.0,
Yonabra,SARIMA,65,0.019268501041513047,-0.19187771024053624,-2.765600203148063
Yonabra,SARIMAX,65,0.019236580029438073,-0.1879319514665363,-2.3443561016394505
Yonabra,MarkovSwitch,65,0.01964659596813318,-0.23911171876815573,-1.7965429820070136
Yovera,RandomWalk,64,0.019692751615110065,0.0,
Yovera,SARIMA,64,0.020196686132801782,-0.051834536024778055,-0.9121351798967212
Yovera,SARIMAX,64,0.02004908943942458,-0.036517168859156124,-1.1134641719913616
Yovera,MarkovSwitch,64,0.023182852361389963,-0.38586501829579634,-2.675222893087716
